Address: 0x1165C1C
                                       00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
---------------------------------------------------------------------------------------
Nut Bread                            | 01 00 10 00 01 00 27 11 5E 00 00 00 00 00 00 00
Peculiar Cheese                      | 01 00 10 00 03 00 28 0C 69 00 00 00 05 00 00 00
Fresh Lumber                         | 01 00 10 00 17 00 09 27 02 00 00 00 06 00 00 00
Durable Shoes                        | 01 00 10 00 7E 02 0A 0D 17 00 00 00 2E 00 00 00
Nut Bread                            | 01 00 10 00 08 00 08 06 5E 00 00 00 01 00 00 00
Edible Mushroom                      | 01 00 10 00 08 00 36 25 63 00 00 00 02 00 00 00
Peculiar Cheese                      | 01 00 10 00 CE 01 18 12 69 00 00 00 13 00 00 00
Super Bomb                           | 01 00 10 00 26 00 12 04 9B 00 00 00 58 00 00 00
Luxury Banana                        | 01 00 10 00 26 00 14 04 6B 00 00 00 59 00 00 00
Beef Jerky                           | 01 00 10 00 D0 01 1E 0C 65 00 00 00 14 00 00 00
Running Bomb                         | 01 00 10 00 D0 01 28 23 97 00 00 00 15 00 00 00
Red Collar                           | 01 00 10 00 37 03 25 07 32 00 00 00 16 00 00 00
Running Bomb                         | 01 00 10 00 90 01 03 39 97 00 00 00 23 00 00 00
Rotten Milk                          | 01 00 10 00 7B 02 19 07 61 00 00 00 25 00 00 00
Aries Bracelet                       | 01 00 10 00 47 00 0D 10 4E 00 00 00 03 00 00 00
Nut Bread                            | 01 00 10 00 D1 00 27 11 5E 00 00 00 00 00 00 00
EMPTY                                | 21 00 10 00 90 02 0A 17 00 00 00 00 30 00 00 00
Beef Jerky                           | 01 00 10 00 14 00 20 0B 65 00 00 00 0F 00 00 00
Chick Bandana                        | 01 00 10 00 77 02 0C 09 3A 00 00 00 2B 00 00 00
Good Kid's Shirt                     | 01 00 10 00 8C 00 11 06 C3 00 00 00 11 00 00 00
Beef Jerky                           | 01 00 10 00 12 00 20 0B 65 00 00 00 0F 00 00 00
Antidote                             | 01 00 10 00 7C 00 0D 08 8B 00 00 00 43 00 00 00
Magic Gelatin                        | 01 00 10 00 89 02 09 08 87 00 00 00 30 00 00 00
Bug Spray                            | 01 00 10 00 F4 01 0D 13 A0 00 00 00 3B 00 00 00
Ancient Banana                       | 01 00 10 00 F5 01 14 09 9E 00 00 00 3E 00 00 00
Osohe Sketch                         | 03 00 10 00 97 02 0B 09 F2 00 00 00 2C 00 00 00
Edible Mushroom                      | 01 00 10 00 06 00 33 1F 63 00 00 00 08 00 00 00
Beef Jerky                           | 01 00 10 00 73 02 18 09 65 00 00 00 28 00 00 00
Nut Bread                            | 01 00 10 00 05 00 26 0E 5E 00 00 00 07 00 00 00
Nut Bread                            | 01 00 10 00 91 01 16 08 5E 00 00 00 24 00 00 00
Fresh Mint                           | 01 00 10 00 70 02 0C 09 8E 00 00 00 27 00 00 00
Battle Memory                        | 01 00 10 00 71 02 0F 09 E8 00 00 00 2A 00 00 00
Aquarius Bracelet                    | 01 00 10 00 79 02 15 0C 4F 00 00 00 2D 00 00 00
Osohe Sketch                         | 03 00 10 00 7A 02 0B 09 F2 00 00 00 2C 00 00 00
Flea Charm                           | 01 00 10 00 86 02 09 0F 26 00 00 00 2F 00 00 00
Nut Bread                            | 01 00 10 00 F9 01 13 16 5E 00 00 00 3F 00 00 00
Beef Jerky                           | 01 00 10 00 8B 02 19 0D 65 00 00 00 32 00 00 00
Sprinting Bomb                       | 01 00 10 00 8B 02 17 12 98 00 00 00 31 00 00 00
Magic Tart                           | 01 00 10 00 8E 02 08 08 88 00 00 00 33 00 00 00
Bug Spray                            | 01 00 10 00 FA 01 07 0D A0 00 00 00 41 00 00 00
Beef Jerky                           | 01 00 10 00 A4 01 1D 0E 65 00 00 00 17 00 00 00
Nut Bread                            | 01 00 10 00 99 01 09 08 5E 00 00 00 0C 00 00 00
Beef Jerky                           | 01 00 10 00 99 01 17 08 65 00 00 00 0D 00 00 00
Aquarius Bracelet                    | 01 00 10 00 1B 00 0A 09 4F 00 00 00 34 00 00 00
Running Bomb                         | 01 00 10 00 1B 00 1B 22 97 00 00 00 35 00 00 00
Beef Jerky                           | 01 00 10 00 1B 00 1B 0C 65 00 00 00 36 00 00 00
Nut Bread                            | 01 00 10 00 1B 00 2C 26 5E 00 00 00 37 00 00 00
Beef Jerky                           | 01 00 10 00 1C 00 16 28 65 00 00 00 3A 00 00 00
Bug Spray                            | 01 00 10 00 1C 00 25 0C A0 00 00 00 39 00 00 00
Antidote                             | 01 00 10 00 56 00 1A 69 8B 00 00 00 09 00 00 00
Mini-Mini Charm                      | 01 00 10 00 56 00 05 06 25 00 00 00 0A 00 00 00
Beef Jerky                           | 01 00 10 00 56 00 19 0D 65 00 00 00 0B 00 00 00
Running Bomb                         | 01 00 10 00 1C 00 13 11 97 00 00 00 38 00 00 00
Beef Jerky                           | 01 00 10 00 F5 01 0B 0B 65 00 00 00 3D 00 00 00
Magic Tart                           | 01 00 10 00 33 01 0D 09 88 00 00 00 68 00 00 00
