Address: 0xC5BB8
                                                   00
------------------------------------------------------
                                                 | 00
Tazmily Village, Twins' House                    | 01
Tazmily Village, Town Square                     | 01
Tazmily Village, Wess's House                    | 01
Tazmily Village                                  | 01
Tazmily Village                                  | 01
Tazmily Village                                  | 01
Saturn Valley                                    | 2B
Cross Road                                       | 74
Sunset Cemetery                                  | 08
Osohe Castle                                     | 08
Prayer Sanctuary                                 | 01
Sunshine Forest, Isaac's House                   | 0C
Aeolia's House                                   | 08
Mt. Oriander,                                    | 08
Demo Use                                         | 00
Mt. Oriander                                     | 0E
Mt. Oriander, Great Cliff                        | 0E
Mt. Oriander, River Area                         | 0E
Mt. Oriander                                     | 0E
Mt. Oriander, River Area                         | 0E
Mt. Oriander, Alec's House                       | 08
Mt. Oriander                                     | 0E
Mt. Oriander,                                    | 0F
Chupichupyoi Temple                              | 2F
Mt. Oriander, Drago Plateau                      | 0F
Death Desert                                     | 14
Death Desert, Cul-de-sac                         | 14
Death Desert                                     | 14
Death Desert, Start Location                     | 14
Tazmily Village, Twins' House                    | 01
Tazmily Village, Town Square                     | 01
Tazmily Village, Old Man's Paradise              | 01
Tazmily Village                                  | 41
Tazmily Village                                  | 01
Tazmily Village, Cerulean Beach                  | 33
Cross Road                                       | 74
Cross Road, Train Station                        | 08
Railway                                          | 16
Railway                                          | 15
Railway                                          | 16
Railway                                          | 15
Phrygia's House                                  | 2C
Railway                                          | 16
Railway                                          | 15
Railway                                          | 16
Factory Station                                  | 15
Factory                                          | 19
Murasaki Forest                                  | 19
Club Titiboo                                     | 1D
Murasaki Forest                                  | 19
Murasaki Forest                                  | 19
Murasaki Forest                                  | 19
Murasaki Forest, Caeribe Falls                   | 75
Murasaki Forest, Small Cave                      | 09
Murasaki Forest                                  | 1A
Murasaki Forest                                  | 1A
Clayman Factory                                  | 1A
Highway                                          | 72
Highway                                          | 00
Highway                                          | 1C
Empty 61                                         | 00
Empty 62                                         | 00
Empty 63                                         | 00
Empty 64                                         | 1C
Highway                                          | 1C
Highway                                          | 1C
                                                 | 00
Sunflower Field                                  | 26
Sunflower Field                                  | 26
Murasaki Forest                                  | 1C
Sunshine Forest, Isaac's House                   | 0C
Clayman Factory                                  | 1C
Sunshine Forest                                  | 0C
Sunshine Forest, Lighter's House                 | 0C
Sunshine Forest                                  | 0C
Sunshine Forest                                  | 0C
Mt. Oriander, Alec's House                       | 08
Doria's House                                    | 2C
Lydia's House                                    | 4D
Tazmily Village, Town Square                     | 02
Sunshine Forest                                  | 0D
Sunshine Forest, Lighter's House                 | 0D
Sunshine Forest, Lighter's House                 | 0D
Sunshine Forest, Lighter's House                 | 0D
Mt. Oriander, Great Cliff                        | 0E
Sunshine Forest                                  | 0D
Osohe Castle, Courtyard                          | 47
Sunshine Forest                                  | 0D
Sunshine Forest                                  | 0D
Mt. Oriander, Great Cliff                        | 0E
                                                 | 32
Saturn Valley                                    | 44
Saturn Valley                                    | 31
Saturn Valley                                    | 31
Mixolydia's House                                | 32
Tanetane Island                                  | 73
Tanetane Island                                  | 32
Ionia's House                                    | 2C
Chupichupyoi Temple                              | 2F
Prayer Sanctuary                                 | 08
Tazmily Village, Twins' House                    | 04
Tazmily Village                                  | 03
Alec's House                                     | 40
Isaac's House                                    | 03
Nippolyte's Shack                                | 09
Nippolyte's Shack                                | 09
                                                 | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 05
Tazmily Village                                  | 05
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 07
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 07
Tazmily Village                                  | 0A
Tazmily Village                                  | 06
Tazmily Village                                  | 06
Tazmily Village, Yado Inn                        | 06
Tazmily Village                                  | 06
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Prayer Sanctuary                                 | 0B
Tazmily Village                                  | 03
                                                 | 38
                                                 | 09
                                                 | 37
Doria's House                                    | 49
Lydia's House                                    | 4A
Mr. Saturn House                                 | 69
Mr. Saturn House                                 | 30
Mr. Saturn House                                 | 6A
Mr. Saturn House                                 | 6B
Alec's House                                     | 40
Tazmily Village                                  | 03
                                                 | 03
Isaac's House                                    | 03
                                                 | 03
                                                 | 03
Lighter's House                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
                                                 | 05
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 06
Tazmily Village                                  | 03
Tazmily Village                                  | 07
Tazmily Village                                  | 03
Tazmily Village                                  | 03
                                                 | 07
Tazmily Village                                  | 03
Tazmily Village                                  | 06
Tazmily Village                                  | 06
Tazmily Village                                  | 06
Tazmily Village                                  | 06
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Tazmily Village                                  | 03
Prayer Sanctuary                                 | 0B
Tazmily Village                                  | 03
New Pork City                                    | 5F
Doria's House                                    | 2C
Doria's House                                    | 2C
Snowcap Mountain                                 | 43
Doria's House                                    | 00
Osohe Castle                                     | 10
Osohe Castle                                     | 10
Tanetane Island                                  | 4E
Tanetane Island                                  | 4E
Tanetane Island                                  | 4E
                                                 | 00
                                                 | 00
                                                 | 00
Gova Volcano                                     | 44
Gova Volcano                                     | 44
Snowcap Mountain                                 | 43
Snowcap Mountain                                 | 43
Snowcap Mountain                                 | 43
Tanetane Island                                  | 32
Tanetane Island                                  | 32
                                                 | 00
Sunset Cemetery                                  | 08
Sunset Cemetery                                  | 08
Old Man's Paradise                               | 42
Old Man's Paradise                               | 42
Old Man's Paradise                               | 42
Old Man's Paradise                               | 42
Old Man's Paradise                               | 42
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 2B
Sunshine Forest                                  | 00
                                                 | 00
Tazmily Village, Twins' House                    | 01
Tazmily Village, Town Square                     | 02
Osohe Castle                                     | 08
Osohe Castle                                     | 08
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
Mt. Oriander, Great Cliff                        | 0E
Mt. Oriander, River Area                         | 08
Mt. Oriander                                     | 00
Mt. Oriander                                     | 0E
Sunset Cemetery                                  | 08
Osohe Castle                                     | 08
Phrygia's House                                  | 4B
Aeolia's House                                   | 48
Mixolydia's House                                | 4C
Cross Road                                       | 00
                                                 | 00
Chupichupyoi Temple                              | 2F
                                                 | 00
Clayman Factory                                  | 00
Murasaki Forest                                  | 00
END                                              | 00
                                                 | 00
                                                 | 00
Cross Road                                       | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
Sunshine Forest, Hot Spring                      | 0C
Sunshine Forest, Hot Spring                      | 0C
Sunshine Forest, Hot Spring                      | 0C
Chimera Forest, Hot Spring                       | 19
Locria's House                                   | 57
Aeolia's House                                   | 48
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
New Pork City                                    | 4F
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
                                                 | 00
Club Titiboo                                     | 1E
Club Titiboo                                     | 1E
Club Titiboo                                     | 1E
Club Titiboo                                     | 1E
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo                                     | 1F
Club Titiboo, Hot Spring                         | 20
                                                 | 20
Club Titiboo, Backstage                          | 21
Club Titiboo                                     | 1E
Club Titiboo                                     | 1E
Club Titiboo                                     | 6D
Club Titiboo                                     | 09
Club Titiboo                                     | 09
Sea Floor Dungeon                                | 2D
Sea Floor Dungeon                                | 2D
Sea Floor Dungeon                                | 2D
Sea Floor Dungeon                                | 2D
Sea Floor Dungeon                                | 2D
Sea Floor Dungeon                                | 2D
